Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Mauritania,MRT,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,111.63,121.48,104.91,115.76,140.29
Mauritius,MUS,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.57,82,87.29,70.53,73.39
Mexico,MEX,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,110.96,113.02,112.23,111.03,111.85
"Micronesia, Fed. Sts.",FSM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.5,100.53,100.51,100.58,100.79
Moldova,MDA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,121.19,128.98,126.54,79.74,137.22
Monaco,MCO,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
Mongolia,MNG,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,68.58,106.26,109.69,116.76,141.29
Montenegro,MNE,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.94,104.27,92.82,94.21,88.22
Morocco,MAR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107.01,116.63,107,91.73,117.12
Mozambique,MOZ,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,113.6,138.29,144.82,135.56,141.56
Myanmar,MMR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.73,98.79,97.87,96.24,93.94
Namibia,NAM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,108.31,111.27,98.7,115.51,118.17
Nauru,NRU,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.06,103.09,103.44,104.1,105.06
Nepal,NPL,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,105.77,105.88,112.05,113.31,115.67
Netherlands,NLD,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,106.97,93.37,104.56,102.88,103.76
New Caledonia,NCL,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,111.75,116.05,116.19,117.7,106.85
New Zealand,NZL,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.53,102.85,106.3,109.4,105.53
Nicaragua,NIC,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,114.06,117,118.2,123.41,128.37
Niger,NER,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,110.74,121.88,119.8,130.97,113.44
Nigeria,NGA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107.98,112.62,108.04,107.03,108.96
North Macedonia,MKD,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,79.24,101.34,94.74,102.86,96.24
Northern Mariana Islands,MNP,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
Norway,NOR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.95,71.74,101.43,100.22,95.11
Oman,OMN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,132.17,134.25,136.09,158.04,152.37
Pakistan,PAK,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,105.3,94.81,101.62,106.11,116.81
Palau,PLW,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
Panama,PAN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,105.93,113.18,114.48,116.77,112.84
Papua New Guinea,PNG,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.18,101.94,100.92,101.66,102.89
Paraguay,PRY,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,109.45,111.5,101.14,118.78,108.94
Peru,PER,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.64,112.46,114.72,118.7,124.53
Philippines,PHL,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.23,102.76,101.62,102.86,105.01
Poland,POL,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.14,93.26,90.08,107.76,107.91
Portugal,PRT,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,116.56,101.73,117.83,109.65,143.48
Puerto Rico,PRI,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.17,100.53,100.47,100.69,101.3
Qatar,QAT,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.36,122.68,128.76,139.88,145.11
Romania,ROU,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,123.9,132.87,123.84,87.26,115.92
Russian Federation,RUS,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,110.09,103.57,111.49,112.75,111.63
Rwanda,RWA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,117.39,112.17,127.77,129.36,136.27
Samoa,WSM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,82.32,81.42,80.08,82.61,85.25
San Marino,SMR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
Sao Tome and Principe,STP,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,110.39,106.53,105.25,103.76,103.9
Saudi Arabia,SAU,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,136.79,139.54,152.11,178.34,179.57
Senegal,SEN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,139.53,166.09,163.8,200.65,195.18
Serbia,SRB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,86.02,107.24,108.25,113.05,103.35
Seychelles,SYC,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.15,103.1,100.97,101.31,102.56
Sierra Leone,SLE,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,83.94,88.77,77.07,90.78,132.48
Singapore,SGP,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.12,106.15,107.18,101.63,99.45
Sint Maarten (Dutch part),SXM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
Slovak Republic,SVK,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.54,96.79,93.5,101.11,99.8
Slovenia,SVN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.31,101.33,93.98,105.77,84.9
Solomon Islands,SLB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.04,103.96,103.67,103.94,105.03
Somalia,SOM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.03,104.66,101.5,100.52,100.2
South Africa,ZAF,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,117.28,111.91,106.92,119.66,125.47
South Sudan,SSD,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.58,100.9,110.17,112.08,114
Spain,ESP,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.65,121.45,102.04,116.74,114.8
Sri Lanka,LKA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,86.26,99.37,101.09,108.94,114.37
St. Kitts and Nevis,KNA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.33,106.26,111.06,107.57,108.6
St. Lucia,LCA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.37,104.21,96.11,79.65,71.8
St. Martin (French part),MAF,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
St. Vincent and the Grenadines,VCT,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.49,102.54,105.3,106.15,104.91
