Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Jordan,JOR,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Kazakhstan,KAZ,Income share held by highest 10%,SI.DST.10TH.10,23,23.4,..,..,..
Kenya,KEN,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,28.6,31.8
Kiribati,KIR,Income share held by highest 10%,SI.DST.10TH.10,..,..,22.9,..,..
"Korea, Dem. People's Rep.",PRK,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
"Korea, Rep.",KOR,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Kosovo,XKX,Income share held by highest 10%,SI.DST.10TH.10,24.6,..,..,..,..
Kuwait,KWT,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Kyrgyz Republic,KGZ,Income share held by highest 10%,SI.DST.10TH.10,23.3,23.6,25.8,24,..
Lao PDR,LAO,Income share held by highest 10%,SI.DST.10TH.10,..,31.2,..,..,..
Latvia,LVA,Income share held by highest 10%,SI.DST.10TH.10,26.9,26.9,26.6,27.5,..
Lebanon,LBN,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Lesotho,LSO,Income share held by highest 10%,SI.DST.10TH.10,32.9,..,..,..,..
Liberia,LBR,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Libya,LBY,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Liechtenstein,LIE,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Lithuania,LTU,Income share held by highest 10%,SI.DST.10TH.10,28.4,27.2,27.5,28.5,..
Luxembourg,LUX,Income share held by highest 10%,SI.DST.10TH.10,25.6,26.6,25.8,25,..
"Macao SAR, China",MAC,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Madagascar,MDG,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Malawi,MWI,Income share held by highest 10%,SI.DST.10TH.10,..,..,31,..,..
